fixture_id,a_home,a_away
571685,-3.628648,-4.565458
571686,-3.8653157,-4.365652
571687,-4.4210167,-4.500315
571688,-4.353038,-4.323741
571689,-4.4269276,-3.9794815
571690,-4.463334,-3.8545103
571691,-4.366713,-4.527595
571692,-4.205596,-4.541185
571693,-4.1176805,-4.193418
571694,-4.861665,-4.0167904
571695,-4.5544667,-3.8575108
571696,-3.7816823,-4.55226
571697,-3.3922863,-5.16559
571698,-4.224141,-4.3489246
571699,-4.0812325,-4.4951816
571700,-4.50777,-4.704685
571701,-3.916104,-4.328894
571702,-4.2246013,-4.6251984
571703,-4.518977,-4.493877
571704,-4.118703,-4.2796435
571705,-3.67323,-4.7843823
571706,-3.75646,-4.122983
571707,-4.008632,-3.5164697
571708,-4.2096295,-4.540289
571709,-3.770861,-4.6229672
571710,-4.862717,-3.9969018
571711,-4.907261,-3.669367
571712,-4.466553,-4.689183
571713,-4.449003,-4.031372
571714,-4.3981347,-4.5969977
571715,-4.2171082,-4.0243683
571716,-3.9135609,-4.399069
571717,-4.26691,-4.3104877
571718,-4.2941604,-4.435207
571719,-3.7398937,-4.632805
571720,-3.9131558,-4.227532
571721,-4.317313,-4.2769885
571722,-4.050368,-4.164632
571723,-4.582291,-3.6062713
571724,-3.8808935,-4.588473
571725,-4.1661005,-3.6069047
571726,-4.2859845,-4.351943
571727,-4.1185846,-4.1306405
571728,-4.315508,-4.3817897
571729,-4.3847194,-4.0389276
571730,-4.032976,-4.4512143
571731,-4.4737654,-4.4835024
571732,-4.8748007,-3.3701372
571733,-4.116999,-4.2366138
571734,-4.036019,-4.153587
571735,-4.0188513,-4.6950016
571736,-4.2394814,-4.259511
571737,-4.5767603,-4.5491524
571738,-4.2668896,-4.116329
571739,-4.2774596,-4.6036277
571740,-3.8573391,-4.591656
571741,-4.4086256,-4.058159
571742,-4.1174173,-4.5441437
571743,-3.89197,-4.8851175
571744,-3.6431491,-4.4962234
571745,-4.7105646,-4.1629057
571746,-4.4015813,-4.4779105
571747,-4.1016064,-4.580314
571748,-4.210593,-3.8905835
571749,-3.927057,-4.5122147
571750,-4.4363666,-4.168932
571751,-4.5068517,-4.382358
571752,-4.3398814,-4.242856
571753,-3.9609375,-4.2198534
571754,-4.4613624,-3.6967711
571755,-4.5942082,-4.267669
571756,-3.7933867,-4.429035
571757,-4.582409,-4.4037313
571758,-4.4563584,-4.2696815
571759,-4.09684,-4.230301
571760,-4.29354,-4.3755584
571761,-4.130714,-4.7198744
571762,-4.144222,-4.3735867
571763,-4.6096115,-4.327404
571764,-4.469836,-4.742019
571765,-4.4222956,-3.7782989
571766,-3.9409366,-4.287901
571767,-4.646086,-3.459297
571768,-4.314963,-4.111541
571769,-3.7870145,-4.6028776
571770,-4.3638587,-4.3097596
571771,-4.0916247,-3.4782019
571772,-4.111928,-4.6892037
571773,-4.2115917,-4.231572
571774,-4.0508213,-3.960903
571775,-4.3492084,-4.35978
571776,-3.9425063,-4.7010007
571777,-3.5198898,-4.84089
571778,-4.420166,-4.4373198
571779,-4.476152,-4.1665936
571780,-4.4660935,-4.0502486
571781,-4.1566987,-4.2203298
571782,-4.698413,-3.9997025
571783,-3.588067,-4.7546287
571784,-3.603773,-4.2495236
571785,-4.268246,-4.438507
571786,-3.5637927,-5.077967
571787,-3.9877036,-3.9771526
